label,text
1,"Information: Systems need to be registered with the Red Hat Subscription Manager (RHSM) to receive patch updates. This is usually configured during initial installation. Verification procedure: Verify the system is connected to the Red Hat Subscription Manager. If connected to RHSM, the systemID can be retrieved with the following command: # subscription-manager identity Result: WARNING Actual Value: The command '/usr/bin/subscription-manager identity' returned : This system is not yet registered. Try 'subscription-manager register --help' for more information. Policy Value: cmd: /usr/bin/subscription-manager identity expect: ManualReviewRequired system: Linux Solution: Run the following command to connect to the Red Hat Subscription Manager: # subscription-manager"
2,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. Unable to read consumer identity repo id repo name AppStream Red Hat Enterprise Linux 8.9.0 AppStream BaseOS Red Hat Enterprise Linux 8.9.0 BaseOS Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
3,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 51 receptor 13 supervisord 00 python3 06 awx-manage 08 awx-manage 12 uwsgi 38 daphne 46 awx-manage 45 awx-manage 17 awx-manage 17 awx-manage 13 awx-manage 16 awx-manage 07 awx-manage 00 rsyslogd 41 awx-manage 05 uwsgi 08 uwsgi 16 uwsgi 29 uwsgi 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any
4,"Information: The /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files specifies rules for logging and which files are to be used to log certain classes of messages. Verification procedure: Review the contents of the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files to ensure appropriate logging is set. In addition, run the following command and verify that the log files are logging information: # ls -l /var/log/ Result: WARNING Actual Value: Policy Value: WARNING Solution: Edit the following lines in the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files: *.emerg :omusrmsg: * auth,authpriv.* /var/log/secure mail.* -/var/log/mail mail.info -/var/log/mail.info mail.warning -/var/log/mail.warn mail.err /var/log/mail.err news.crit -/var/log/news/news.crit news.err -/var/log/news/news.err news.notice -/var/log/news/news.notice *.=warning;*.=err -/var/log/warn *.crit /var/log/warn"
5,"Information: Log files stored in /var/log/ contain logged information from many services on the system, or on log hosts others as well. Verification procedure: Run the following command and verify that other has no permissions on any files and group does not have write or execute permissions on any files: # find /var/log -type f -perm /037 -ls -o -type d -perm /026 -ls No output should be returned Result: FAILED Actual Value: The command 'OUTPUT=$(ls -l /var/log); /usr/bin/find /var/log/ -type f -perm /g+wx,o+rwx -exec ls -l """"{}"""" + | /usr/bin/awk -v awkvar=""""${OUTPUT}"""" '{print} END {if (NR == 0) print"
6,"Information: The RPM package manager has a number of useful options. One of these, the -V for RPM option, can be used to verify that system packages are correctly installed. The -V option can be used to verify a particular package or to verify all system packages. If no output is returned, the package is installed correctly. The following table describes the meaning of output from the verify option: Code Meaning S File size differs. M File mode differs (includes permissions and file type). 5 The MD5 checksum differs. D The major and minor version numbers differ on a device"
7,"Information: The /etc/shadow file is used to store the information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow with fmode owner: root group: root mode: 0640 uid: 0 gid: 0 uneven permissions : FALSE does not match the policy value owner: root group:"
8,"Information: The /etc/gshadow file is used to store the information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow with fmode owner: root group: root mode: 0600 uid: 0 gid: 0 uneven permissions : FALSE does not match the policy value owner: root group: root mask:"
9,"Information: The /etc/shadow- file is used to store backup information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow- Access: (0600/-rw-------) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow- with fmode owner: root group: root mode: 0640 uid: 0 gid: 0 uneven permissions : FALSE does not match the policy value owner: root group:"
10,"Information: The /etc/gshadow- file is used to store backup information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow- Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow- with fmode owner: root group: root mode: 0600 uid: 0 gid: 0 uneven permissions : FALSE does not match the policy value owner: root group: root"
11,"Information: While the system administrator can establish secure permissions for users' home directories, the users can easily override these. Verification procedure: Run the following script and verify no results are returned: #!/bin/bash grep -E -v '^(halt|sync|shutdown)' /etc/passwd | awk -F: '($7 != """"'""""$(which nologin)""""'"""" && $7 != """"/bin/false"""") { print $1 """" """" $6 }' | while read user dir; do if [ ! -d """"$dir"""" ]; then echo """"The home directory ($dir) of user $user does not exist."""" else dirperm=$(ls -ld $dir | cut -f1 -d"""" """") if [ $(echo $dirperm | cut -c6) != """"-"""" ]; then echo"
12,"Information: Sometimes when administrators delete users from the password file they neglect to remove all files owned by those users from the system. Verification procedure: Run the following command and verify no files are returned: # df --local -P | awk {'if (NR!=1) print $6'} | xargs -I '{}' find '{}' -xdev -nouser The command above only searches local filesystems, there may still be compromised items on network mounted partitions. Additionally the --local option to df is not universal to all versions, it can be omitted to search all filesystems on a system including network mounted filesystems or the following"
13,"Information: Sometimes when administrators delete users or groups from the system they neglect to remove all files owned by those users or groups. Verification procedure: Run the following command and verify no files are returned: # df --local -P | awk '{if (NR!=1) print $6}' | xargs -I '{}' find '{}' -xdev -nogroup The command above only searches local filesystems, there may still be compromised items on network mounted partitions. Additionally the --local option to df is not universal to all versions, it can be omitted to search all filesystems on a system including network mounted filesystems or the following"
14,"Information: The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SUID program is to enable users to perform functions (such as changing their password) that require root privileges. Verification procedure: Run the following command to list SUID files: # df --local -P | awk '{if (NR!=1) print $6}' | xargs -I '{}' find '{}' -xdev -type f -perm -4000 The command above only searches local filesystems, there may"
15,"Information: The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SGID program is to enable users to perform functions (such as changing their password) that require root privileges. Verification procedure: Run the following command to list SGID files: # df --local -P | awk '{if (NR!=1) print $6}' | xargs -I '{}' find '{}' -xdev -type f -perm -2000 The command above only searches local filesystems, there may"
16,Information: The system includes the capability of rotating log files regularly to avoid filling up the system with logs or making the logs unmanageably large. The file /etc/logrotate.d/syslog is the configuration file used to rotate log files created by syslog or rsyslog. Verification procedure: Review /etc/logrotate.conf and /etc/logrotate.d/* and verify logs are rotated. Result: WARNING Actual Value: Policy Value: WARNING Solution: Edit /etc/logrotate.conf and /etc/logrotate.d/* to ensure logs are rotated. Note: If no maxage setting is set for logrotate a situation can occur where logrotate is interrupted and fails to delete rotated logfiles. It is recommended to set this to
17,"Information: The noexec mount option specifies that the filesystem cannot contain executable binaries. Verification procedure: Verify that the noexec option is set for the /tmp mount. Run the following command to verify that the noexec mount option is set. Example: # findmnt --kernel /tmp | grep noexec /tmp tmpfs tmpfs rw,nosuid,nodev,noexec,relatime,seclabel Result: FAILED Actual Value: The command '/usr/bin/findmnt --kernel /tmp | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}'' returned : TARGET SOURCE FSTYPE OPTIONS /tmp /dev/mapper/rootvg-tmp tmpfs rw,nosuid,nodev,relatime,seclabel Policy Value: cmd: /usr/bin/findmnt --kernel /tmp | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}' expect: ([\s]*[,]?noexec|not"
18,"Information: The noexec mount option specifies that the filesystem cannot contain executable binaries. Verification procedure: Verify that the noexec option is set for the /var/tmp mount. Run the following command to verify that the noexec mount option is set. Example: # findmnt --kernel /var/tmp | grep noexec /var/tmp /dev/sdb ext4 rw,nosuid,nodev,noexec,relatime,seclabel Result: FAILED Actual Value: The command '/usr/bin/findmnt --kernel /var/tmp | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}'' returned : TARGET SOURCE FSTYPE OPTIONS /var/tmp /dev/mapper/rootvg-var_tmp xfs rw,nosuid,nodev,relatime,seclabel,attr2,inode64,logbufs=8,logbsize=32k,noquota Policy Value: cmd: /usr/bin/findmnt --kernel /var/tmp | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}' expect: ([\s]*[,]?noexec|not"
19,"Information: The noexec mount option specifies that the filesystem cannot contain executable binaries. Verification procedure: Verify that the noexec option is set for the /var mount. Run the following command to verify that the noexec mount option is set. Example: # findmnt --kernel /var | grep noexec /var /dev/sdb ext4 rw,nosuid,nodev,noexec,relatime,seclabel Result: FAILED Actual Value: The command '/usr/bin/findmnt --kernel /var | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}'' returned : TARGET SOURCE FSTYPE OPTIONS /var /dev/mapper/rootvg-var xfs rw,nosuid,nodev,relatime,seclabel,attr2,inode64,logbufs=8,logbsize=32k,noquota Policy Value: cmd: /usr/bin/findmnt --kernel /var | /usr/bin/awk '{print} END {if (NR == 0) print """"not mounted""""}' expect: ([\s]*[,]?noexec|not"
20,"Information: The operating system must be configured so that users must provide a password for privilege escalation. Verification procedure: Note: If passwords are not being used for authentication, this is not applicable. Verify the operating system requires users to supply a password for privilege escalation. Check the configuration of the /etc/sudoers and /etc/sudoers.d/* files with the following command: # grep -r """"^[^#].*NOPASSWD"""" /etc/sudoers* If any line is found refer to the remediation procedure below. Result: FAILED Actual Value: The command '/usr/bin/egrep -i '^[^#]*NOPASSWD' /etc/sudoers /etc/sudoers.d/* | /bin/awk '{print} END {if (NR == 0) print """"none""""}'' returned : grep: /etc/sudoers.d/*: No"
21,"Information: Internet Protocol Version 6 (IPv6) is the most recent version of Internet Protocol (IP). It's designed to supply IP addressing and additional security to support the predicted growth of connected devices. Verification procedure: Run the following script to verify IPv6 status on the system: #!/usr/bin/env bash check_ipv6() { output="""""""" grubfile=$(find /boot -type f ( -name 'grubenv' -o -name 'grub.conf' -o -name 'grub.cfg' ) -exec grep -Pl -- '^h*(kernelopts=|linux|kernel)' {} ;) searchloc=""""/run/sysctl.d/*.conf /etc/sysctl.d/*.conf /usr/local/lib/sysctl.d/*.conf /usr/lib/sysctl.d/*.conf /lib/sysctl.d/*.conf /etc/sysctl.conf"""" if [ -s """"$grubfile"""" ]; then ! grep -P -- """"^h*(kernelopts=|linux|kernel)"""" """"$grubfile"""" | grep -vq -- ipv6.disable=1 && output=""""IPv6 Disabled in """"$grubfile"""" fi"
22,"Information: Monitor privileged programs (those that have the setuid and/or setgid bit set on execution) to determine if unprivileged users are running these commands. Verification procedure: Run the following command replacing <partition> with a list of partitions where programs can be executed from the system: # find <partition> -xdev ( -perm -4000 -o -perm -2000 ) -type f | awk '{print """"-a always,exit -F path="""" $1 """" -F perm=x -F auid>='""""$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs)""""' -F auid!=4294967295 -k privileged"""" }' Verify all resulting lines are in a .rules file in /etc/audit/rules.d/ and the output of auditctl -l. Note: The .rules file"
23,"Information: Monitor the use of system calls associated with the deletion or renaming of files and file attributes. This configuration statement sets up monitoring for: - unlink - remove a file - unlinkat - remove a file attribute - rename - rename a file - renameat rename a file attribute system calls and tags them with the identifier """"delete"""". Note: For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32. Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk"
24,"Information: The operating system must generate audit records for successful/unsuccessful uses of the chacl command Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs) # [ -n """"${UID_MIN}"""" ] && awk """"/^ *-a *always,exit/ &&(/ -F *auid!=unset/||/ -F *auid!=-1/||/ -F *auid!=4294967295/) &&/ -F *auid>=${UID_MIN}/ &&/ -F *perm=x/ &&/ -F *path=/usr/bin/chacl/ &&(/ key= *[!-~]* *$/||/ -k *[!-~]* *$/)"""" /etc/audit/rules.d/*.rules || printf """"ERROR: Variable 'UID_MIN' is unset. """" Verify the output matches: -a always,exit -F path=/usr/bin/chacl -F perm=x -F auid>=1000 -F auid!=unset -k priv_cmd Running configuration Run the"
25,"Information: The rsyslog utility supports the ability to send logs it gathers to a remote log host running syslogd(8) or to receive messages from remote hosts, reducing administrative overhead. Verification procedure: Review the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and verify that logs are sent to a central host: # grep """"^*.*[^I][^I]*@"""" /etc/rsyslog.conf /etc/rsyslog.d/*.conf *.* @@loghost.example.com Result: FAILED Actual Value: Non-compliant file(s): /etc/rsyslog.conf - regex '^\*\.\*[^I][^I]*\@\@' found - expect '^\*\.\*[^I][^I]*\@\@10\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\:514' not found in the following lines: 97: *.* @@10.216.15.180:514 Policy Value: expect: ^\*\.\*[^I][^I]*\@\@10\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\:514 file: /etc/rsyslog.conf /etc/rsyslog.d/*.conf min_occurrences: 1 regex: ^\*\.\*[^I][^I]*\@\@ required: NO system: Linux Solution: Edit the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and"
26,"Information: The pam_pwquality.so module checks the strength of passwords. It performs checks such as making sure a password is not a dictionary word, it is a certain length, contains a mix of characters (e.g. alphabet, numeric, other) and more. The following are definitions of the pam_pwquality.so options. - try_first_pass - retrieve the password from a previous stacked PAM module. If not available, then prompt the user for a password. - retry = 3 - allow 3 tries before sending back a failure. - minlen = 15 - password must be 15 characters. Either of the following can be used to"
27,"Information: There are a number of accounts provided with most distributions that are used to manage applications and are not intended to provide an interactive shell. Verification procedure: Run the following commands and verify no results are returned: awk -F: '($1!=""""root"""" && $1!=""""sync"""" && $1!=""""shutdown"""" && $1!=""""halt"""" && $1!~/^+/ && $3<'""""$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs)""""' && $7!=""""'""""$(which nologin)""""'"""" && $7!=""""/bin/false"""") {print}' /etc/passwd awk -F: '($1!=""""root"""" && $1!~/^+/ && $3<'""""$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs)""""') {print $1}' /etc/passwd | xargs -I '{}' passwd -S '{}' | awk '($2!=""""L"""" && $2!=""""LK"""") {print $1}' Result: FAILED Actual Value: The command '/usr/bin/awk -F: '($1!=""""root"""" && $1!=""""svevmsvaunix01"""" &&"
28,Information: NOTE: Nessus has not identified that the chosen audit applies to the target device. Result: WARNING Actual Value: Policy Value: WARNING See Also: https://workbench.cisecurity.org/files/3148
29,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 31 supervisord 00 python3 25 awx-manage 11 awx-manage 17 uwsgi 08 daphne 58 awx-manage 55 awx-manage 48 awx-manage 43 awx-manage 48 awx-manage 49 awx-manage 08 awx-manage 00 rsyslogd 41 awx-manage 12 receptor 06 uwsgi 09 uwsgi 19 uwsgi 31 uwsgi 00 awx-manage <defunct> 00 awx-manage <defunct> 00 awx-manage <defunct> 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux
30,"Information: Although the groupadd program will not let you create a duplicate Group ID (GID), it is possible for an administrator to manually edit the /etc/group file and change the GID field. Verification procedure: Run the following script and verify no results are returned: #!/bin/bash cut -d: -f3 /etc/group | sort | uniq -d | while read x ; do echo """"Duplicate GID ($x) in /etc/group"""" done Result: FAILED Actual Value: The following groups in the /etc/group file share the same GID: shadow postgres (sharing GID 26) Policy Value: name: group_duplicate_gid system: Linux Solution: Based on the results of the"
31,"Information: The operating system must be configured so that users must provide a password for privilege escalation. Verification procedure: Note: If passwords are not being used for authentication, this is not applicable. Verify the operating system requires users to supply a password for privilege escalation. Check the configuration of the /etc/sudoers and /etc/sudoers.d/* files with the following command: # grep -r """"^[^#].*NOPASSWD"""" /etc/sudoers* If any line is found refer to the remediation procedure below. Result: FAILED Actual Value: The command '/usr/bin/egrep -i '^[^#]*NOPASSWD' /etc/sudoers /etc/sudoers.d/* | /bin/awk '{print} END {if (NR == 0) print """"none""""}'' returned : /etc/sudoers:ADMINS ALL=(ALL) NOPASSWD:"
32,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. Unable to read consumer identity No repositories available Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
33,"Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Unable to read consumer identity Error: There are no enabled repositories in """"/etc/yum.repos.d"""", """"/etc/yum/repos.d"""", """"/etc/distro.repos.d"""". fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the"
