label,text
34,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 09 receptor Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found during the audit action. They may need to have an existing security context assigned to them or a policy built for them. Note: Occasionally certain daemons such as backup or centralized management software may require running unconfined. Any such software should be carefully analyzed and documented before such an
35,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 18 receptor Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found during the audit action. They may need to have an existing security context assigned to them or a policy built for them. Note: Occasionally certain daemons such as backup or centralized management software may require running unconfined. Any such software should be carefully analyzed and documented before such an
36,"Information: Systems need to be registered with the Red Hat Subscription Manager (RHSM) to receive patch updates. This is usually configured during initial installation. Verification procedure: Verify the system is connected to the Red Hat Subscription Manager. If connected to RHSM, the systemID can be retrieved with the following command: # subscription-manager identity Result: WARNING Actual Value: The command '/usr/bin/subscription-manager identity' returned : Unable to verify server's identity: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:897) Policy Value: cmd: /usr/bin/subscription-manager identity expect: ManualReviewRequired system: Linux Solution: Run the following command to connect to the Red Hat Subscription Manager: # subscription-manager register See"
37,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. repo id repo name rhel-8-for-x86_64-appstream-rpms Red Hat Enterprise Linux 8 for x86_64 - AppStream (RPMs) rhel-8-for-x86_64-baseos-rpms Red Hat Enterprise Linux 8 for x86_64 - BaseOS (RPMs) Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
38,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 23 receptor 00 supervisord 00 python3 27 awx-manage 55 awx-manage 20 uwsgi 50 daphne 16 awx-manage 55 awx-manage 47 awx-manage 53 awx-manage 49 awx-manage 52 awx-manage 07 awx-manage 00 rsyslogd 54 awx-manage 04 uwsgi 07 uwsgi 15 uwsgi 38 uwsgi 00 awx-manage <defunct> 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found
39,Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Last metadata expiration check: 8:03:04 ago on Tue Jan 16 15:15:44 2024. containers-common.x86_64. 2:1-64.module+el8.8.0+19993+47c8ef84 rhel-8-for-x86_64-appstream-rpms fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the
40,"Information: The /etc/shadow file is used to store the information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow with fmode owner: root group: shadow mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
41,"Information: The /etc/gshadow file is used to store the information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow with fmode owner: root group: shadow mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root mask:"
42,"Information: The /etc/shadow- file is used to store backup information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow- Access: (0600/-rw-------) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow- with fmode owner: root group: shadow mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
43,"Information: The /etc/gshadow- file is used to store backup information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow- Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow- with fmode owner: root group: shadow mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root"
44,"Information: Capture events where the system date and/or time has been modified. The parameters in this section are set to determine if the adjtimex (tune kernel clock), settimeofday (Set time, using timeval and timezone structures) stime (using seconds since 1/1/1970) or clock_settime (allows for the setting of several internal clocks and timers) system calls have been executed and always write an audit record to the /var/log/audit.log file upon exit, tagging the records with the identifier """"time-change"""". Note: For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32. Verification procedure: 64"
45,"Information: The PASS_MIN_DAYS parameter in /etc/login.defs allows an administrator to prevent users from changing their password until a minimum number of days have passed since the last time the user changed their password. Note: The value for PASS_MIN_DAYS must be set to 0 for those accounts, which are on-boarded to PAM/CPM, whilst for rest of the accounts must be set to 1. Verification procedure: Run the following command and verify PASS_MIN_DAYS: # grep PASS_MIN_DAYS /etc/login.defs PASS_MIN_DAYS 1 Run the following command and Review list of users and PAS_MIN_DAYS to verify that all users' PAS_MIN_DAYS: # grep -E ^[^:]+:[^!*] /etc/shadow |"
46,Information: Rescue mode (former single user mode) is used for recovery when the system detects an issue during boot or by manual selection from the bootloader. Verification procedure: Run the following commands and verify that systemd-sulogin-shell rescue is used to start the rescue mode: # grep -r /systemd-sulogin-shell /usr/lib/systemd/system/rescue.service /etc/systemd/system/rescue.service.d ExecStart=-/usr/lib/systemd/systemd-sulogin-shell rescue This line must not be different in any output and must appear at least once. Result: FAILED Actual Value: Non-compliant file(s): /usr/lib/systemd/system/rescue.service - regex '/systemd-sulogin-shell' found - expect '^ExecStart=-/usr/lib/systemd/systemd-sulogin-shell rescue' not found in the following lines: 22: ExecStart=-/usr/lib/systemd/systemd-sulogin-shell --forcerescue Policy Value: expect: ^ExecStart=-/usr/lib/systemd/systemd-sulogin-shell rescue file: /usr/lib/systemd/system/rescue.service /etc/systemd/system/rescue.service.d/* min_occurrences:
47,"Information: Record changes to network environment files or system calls. The below parameters monitor the sethostname (set the systems host name) or setdomainname (set the systems domainname) system calls and write an audit event on system call exit. The other parameters monitor the /etc/issue and /etc/issue.net files (messages displayed pre-login), /etc/hosts (file containing host names and associated IP addresses) and /etc/sysconfig/network (directory containing network interface scripts and configurations) files. Note: For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32. Verification procedure: 64 Bit systems On disk configuration Run the"
48,"Information: Monitor changes to file permissions, attributes, ownership and group. The parameters in this section track changes for system calls that affect file permissions and attributes. The following commands and system calls effect the permissions, ownership and various attributes of files. - chmod - fchmod - fchmodat - chown - fchown - fchownat - lchown - setxattr - lsetxattr - fsetxattr - removexattr - lremovexattr - fremovexattr In all cases, an audit record will only be written for non-system user ids and will ignore Daemon events. All audit records will be tagged with the identifier """"perm_mod."""" Note: For IBM Power"
49,"Information: Monitor for unsuccessful attempts to access files. The following parameters are associated with system calls that control files: - creation - creat - opening - open , openat - truncation - truncate , ftruncate An audit log record will only be written if all of the following criteria is met for the user when trying to access a file: - a non-privileged user (auid>=UID_MIN) - is not a Daemon event (auid=4294967295/unset/-1) - if the system call returned EACCES (permission denied) or EPERM (some other permanent error associated with the specific system call) Note: For IBM Power Systems (PPC64lE), follow"
50,"Information: Monitor the use of the mount system call. The mount (and umount) system call controls the mounting and unmounting of file systems. The parameters below configure the system to create an audit record when the mount system call is used by a non-privileged user. Note: For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32. Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs) # [ -n """"${UID_MIN}"""" ] && awk """"/^ *-a *always,exit/ &&/"
51,"Information: sudo provides users with temporary elevated privileges to perform operations, either as the superuser or another user. Note: For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32. Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # awk '/^ *-a *always,exit/ &&/ -F *arch=b[2346]{2}/ &&(/ -F *auid!=unset/||/ -F *auid!=-1/||/ -F *auid!=4294967295/) &&(/ -C *euid!=uid/||/ -C *uid!=euid/) &&/ -S *execve/ &&(/ key= *[!-~]* *$/||/ -k *[!-~]* *$/)' /etc/audit/rules.d/*.rules Verify the output matches: -a always,exit -F arch=b64 -C euid!=uid -F auid!=unset"
52,"Information: The operating system must generate audit records for successful/unsuccessful uses of the chcon command. Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs) # [ -n """"${UID_MIN}"""" ] && awk """"/^ *-a *always,exit/ &&(/ -F *auid!=unset/||/ -F *auid!=-1/||/ -F *auid!=4294967295/) &&/ -F *auid>=${UID_MIN}/ &&/ -F *perm=x/ &&/ -F *path=/usr/bin/chcon/ &&(/ key= *[!-~]* *$/||/ -k *[!-~]* *$/)"""" /etc/audit/rules.d/*.rules || printf """"ERROR: Variable 'UID_MIN' is unset. """" Verify the output matches: -a always,exit -F path=/usr/bin/chcon -F perm=x -F auid>=1000 -F auid!=unset -k perm_chng Running configuration Run the"
53,"Information: The operating system must generate audit records for successful/unsuccessful uses of the setfacl command Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs) # [ -n """"${UID_MIN}"""" ] && awk """"/^ *-a *always,exit/ &&(/ -F *auid!=unset/||/ -F *auid!=-1/||/ -F *auid!=4294967295/) &&/ -F *auid>=${UID_MIN}/ &&/ -F *perm=x/ &&/ -F *path=/usr/bin/setfacl/ &&(/ key= *[!-~]* *$/||/ -k *[!-~]* *$/)"""" /etc/audit/rules.d/*.rules || printf """"ERROR: Variable 'UID_MIN' is unset. """" Verify the output matches: -a always,exit -F path=/usr/bin/setfacl -F perm=x -F auid>=1000 -F auid!=unset -k perm_chng Running configuration Run the"
54,"Information: The operating system must generate audit records for successful/unsuccessful uses of the usermod command. Verification procedure: 64 Bit systems On disk configuration Run the following command to check the on disk rules: # UID_MIN=$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs) # [ -n """"${UID_MIN}"""" ] && awk """"/^ *-a *always,exit/ &&(/ -F *auid!=unset/||/ -F *auid!=-1/||/ -F *auid!=4294967295/) &&/ -F *auid>=${UID_MIN}/ &&/ -F *perm=x/ &&/ -F *path=/usr/sbin/usermod/ &&(/ key= *[!-~]* *$/||/ -k *[!-~]* *$/)"""" /etc/audit/rules.d/*.rules || printf """"ERROR: Variable 'UID_MIN' is unset. """" Verify the output matches: -a always,exit -F path=/usr/sbin/usermod -F perm=x -F auid>=1000 -F auid!=unset -k usermod Running configuration Run the"
55,"Information: The rsyslog utility supports the ability to send logs it gathers to a remote log host running syslogd(8) or to receive messages from remote hosts, reducing administrative overhead. Verification procedure: Review the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and verify that logs are sent to a central host: # grep """"^*.*[^I][^I]*@"""" /etc/rsyslog.conf /etc/rsyslog.d/*.conf *.* @@loghost.example.com Result: FAILED Actual Value: No matching files were found Less than 1 matches of regex found Policy Value: expect: ^\*\.\*[^I][^I]*\@\@10\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\:514 file: /etc/rsyslog.conf /etc/rsyslog.d/*.conf min_occurrences: 1 regex: ^\*\.\*[^I][^I]*\@\@ required: NO system: Linux Solution: Edit the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and add the following line (where loghost.example.com is"
56,"Information: If at is installed in the system, configure /etc/at.allow to allow specific users to use these services. If /etc/at.allow does not exist, then /etc/at.deny is checked. Any user not specifically defined in those files is allowed to use at. By removing the file, only users in /etc/at.allow are allowed to use at. Note: Even though a given user is not listed in at.allow, at jobs can still be run as that user. The at.allow file only controls administrative access to the at command for scheduling and modifying at jobs. Verification procedure: Run the following script: #!/usr/bin/env bash at_chk() {"
57,"Information: Monitor the sudo log file. If the system has been properly configured to disable the use of the su command and force all administrators to have to log in first and then use sudo to execute privileged commands, then all administrator commands will be logged to /var/log/sudo.log . Any time a command is executed, an audit event will be triggered as the /var/log/sudo.log file will be opened for write and the executed administration command will be written to the log. Verification procedure: On disk configuration Run the following command to check the on disk rules: # SUDO_LOG_FILE_ESCAPED=$(grep -r logfile"
58,"Information: The /etc/shadow file is used to store the information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow with fmode owner: root group: postgres mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
59,"Information: The /etc/gshadow file is used to store the information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow with fmode owner: root group: postgres mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root mask:"
60,"Information: The /etc/shadow- file is used to store backup information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow- Access: (0600/-rw-------) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow- with fmode owner: root group: postgres mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
61,"Information: The /etc/gshadow- file is used to store backup information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow- Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow- with fmode owner: root group: postgres mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root"
62,Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Last metadata expiration check: 8:11:26 ago on Tue Jan 16 15:16:24 2024. containers-common.x86_64. 2:1-64.module+el8.8.0+19993+47c8ef84 rhel-8-for-x86_64-appstream-rpms fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the
63,"Information: The operating system must be configured so that users must provide a password for privilege escalation. Verification procedure: Note: If passwords are not being used for authentication, this is not applicable. Verify the operating system requires users to supply a password for privilege escalation. Check the configuration of the /etc/sudoers and /etc/sudoers.d/* files with the following command: # grep -r """"^[^#].*NOPASSWD"""" /etc/sudoers* If any line is found refer to the remediation procedure below. Result: FAILED Actual Value: The command '/usr/bin/egrep -i '^[^#]*NOPASSWD' /etc/sudoers /etc/sudoers.d/* | /bin/awk '{print} END {if (NR == 0) print """"none""""}'' returned : /etc/sudoers:ADMINS ALL=NOPASSWD: ALL"
64,"Information: Systems need to be registered with the Red Hat Subscription Manager (RHSM) to receive patch updates. This is usually configured during initial installation. Verification procedure: Verify the system is connected to the Red Hat Subscription Manager. If connected to RHSM, the systemID can be retrieved with the following command: # subscription-manager identity Result: WARNING Actual Value: The command '/usr/bin/subscription-manager identity' returned : Network error: Name or service not known (error code -2) Policy Value: cmd: /usr/bin/subscription-manager identity expect: ManualReviewRequired system: Linux Solution: Run the following command to connect to the Red Hat Subscription Manager: # subscription-manager register See Also:"
65,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. repo id repo name AppStream Red Hat Enterprise Linux 8.9.0 AppStream BaseOS Red Hat Enterprise Linux 8.9.0 BaseOS Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
66,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 21 receptor Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found during the audit action. They may need to have an existing security context assigned to them or a policy built for them. Note: Occasionally certain daemons such as backup or centralized management software may require running unconfined. Any such software should be carefully analyzed and documented before such an
62,Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Last metadata expiration check: 10:57:53 ago on Tue Jan 16 12:20:15 2024. containers-common.x86_64. 2:1-64.module+el8.8.0+19993+47c8ef84 rhel-8-for-x86_64-appstream-rpms fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the